Company,Address,Mailing City,State,Zip Code,Last Name,First Name,Phone Number Combined,Primary SIC Code Description,Location Sales Volume Range,SIC Code 1 ,SIC Code Description 1,Lead Status
"Hernandez, Juan F Agt",6203 Pecan Valley Dr,San Antonio,TX,78223,Hernandez,Juan F,(210) 359-8838,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hernandez, Kimberly Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hernandez,Kimberly,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hernandez, Martha Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hernandez,Martha,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hernandez, Richard Agt",8300 Culebra Rd # 305,San Antonio,TX,78251,Hernandez,Richard,(210) 522-9299,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hernandez, Ruby Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hernandez,Ruby,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Herrera, Delores Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Herrera,Delores,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Herrera, Joseph Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Herrera,Joseph,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Herrera, Luis Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Herrera,Luis,(210) 456-5728,Insurance,"Less Than $500,000",6411-12,Insurance,
"Herrera, Richard Agt",10650 Culebra Rd # 104,San Antonio,TX,78251,Herrera,Richard,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Herrick, John Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Herrick,John,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hersum, Matthew Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hersum,Matthew,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hertel, Allyson Agt",8500 Bluffstone Cv # B204,Austin,TX,78759,Hertel,Allyson,(512) 828-9396,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hess, Cheryl Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hess,Cheryl,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Heuertz, Bryan Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Heuertz,Bryan,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hidalgo, Maria Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hidalgo,Maria,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hidle, Rex Agt",16170 Jones Maltsberger Rd,San Antonio,TX,78247,Hidle,Rex,(210) 823-6056,Insurance,"Less Than $500,000",6411-12,Insurance,
Higdon Employee Benefits LLC,13625 Pond Springs Rd # 102,Austin,TX,78729,,,(512) 491-8899,Insurance,"Less Than $500,000",6411-12,Insurance,
Higginbotham & Assoc,1221 S MO Pac Expy # 160,Austin,TX,78746,Page,Curtis W,(512) 476-7444,Insurance,$1-2.5 Million,6411-12,Insurance,
"Higgins, Matthew Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Higgins,Matthew,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Hill Country Insurance Assoc,,Austin,TX,78704,,,(512) 441-4545,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Hill, Carolyn Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hill,Carolyn,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hill, Claudia Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hill,Claudia,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hillmer, Alissa Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hillmer,Alissa,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hines, Carolet Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hines,Carolet,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hinkle, Candy Agt",16607 Blanco Rd # 907,San Antonio,TX,78232,Hinkle,Candy,(210) 341-5828,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hinkle, Diane Agt",9830 Colonnade Blvd # 400,San Antonio,TX,78230,Hinkle,Diane,(210) 691-4216,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hinkle, Michael Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hinkle,Michael,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hinojosa, Lauren Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hinojosa,Lauren,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Hipp Insurance,4402 Merle Dr,Austin,TX,78745,Hipp,Shirrell,(512) 441-7922,Insurance,"Less Than $500,000",6411-12,Insurance,
His Assurance,21007 Encino Dawn,San Antonio,TX,78259,Fabricant,Stuart,(210) 499-4447,Insurance,"Less Than $500,000",6411-12,Insurance,
Hochheim Prairie Ins Co Claims,4100 E Piedras Dr,San Antonio,TX,78228,,,(210) 223-7777,Insurance,"$500,000-1 Million",6411-12,Insurance,
Hochheim Prairie Insurance,10200 Highway 290 W # 105,Austin,TX,78736,,,(512) 301-3535,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hodges, Lori Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hodges,Lori,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hoffler, Edward",9800 Fredericksburg Rd,San Antonio,TX,78288,Hoffler,Edward,(210) 282-1888,Insurance-Property & Casualty,$2.5-5 Million,6331-01,Insurance-Property & Casualty,
"Hoffman, Anthony Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hoffman,Anthony,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hoffman, Terri Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hoffman,Terri,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hollis, Renee Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hollis,Renee,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Holman Colyer, Shirley Agt",1011 NW Loop 410 # 201,San Antonio,TX,78213,Holman Colyer,Shirley,(210) 341-6337,Insurance,"Less Than $500,000",6411-12,Insurance,
"Holt III, James Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Holt Iii,James,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Holt, Karen Agt",7550 W Interstate 10 # 700,San Antonio,TX,78229,Holt,Karen,(830) 278-4561,Insurance,"Less Than $500,000",6411-12,Insurance,
Home Insurance,44 East Ave,Austin,TX,78701,,,(512) 717-3899,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home Insurance,3600 Fredericksburg Rd,San Antonio,TX,78201,,,(210) 714-4714,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home Insurance Affordable Plns,4300 Fredericksburg Rd,San Antonio,TX,78201,,,(210) 714-4690,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home Insurance Discounters,6061 W Interstate 10,San Antonio,TX,78201,,,(210) 714-4692,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home Insurance Major Natl,1726 Fredericksburg Rd,San Antonio,TX,78201,,,(210) 714-4689,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home Insurance Multiple Natl,3655 Fredericksburg Rd,San Antonio,TX,78201,,,(210) 714-4693,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home Insurance Specialists,6243 W Interstate 10,San Antonio,TX,78201,,,(210) 714-4691,Insurance,"$500,000-1 Million",6411-12,Insurance,
Home State Insurance Group Inc,716 Congress Ave # 201,Austin,TX,78701,Mc Clellan,Christopher,(512) 306-0400,Insurance,"Less Than $500,000",6411-12,Insurance,
Home-Owners Insurance Co,8918 Tesoro Dr # 100,San Antonio,TX,78217,Laskowski,Emil,(210) 798-0328,Insurance,$1-2.5 Million,6411-07,Insurance-Homeowners,
Homeland Group Of Texas,,San Antonio,TX,78257,,,(210) 698-6100,Insurance,"$500,000-1 Million",6411-12,Insurance,
Homewise Preferred Ins Co,14100 San Pedro Ave # 201,San Antonio,TX,78232,,,(210) 424-0601,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Hooper, Benjamin Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hooper,Benjamin,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Horace Mann Insurance Co,2028 E Ben White Blvd,Austin,TX,78741,,,(512) 583-4684,Insurance,"Less Than $500,000",6411-12,Insurance,
Horace Mann Insurance Co,,San Antonio,TX,78214,,,(210) 627-2408,Insurance,"Less Than $500,000",6411-12,Insurance,
Horace Mann Insurance Co,3941 Beckwood Dr,San Antonio,TX,78259,,,(210) 497-7541,Insurance,"Less Than $500,000",6411-12,Insurance,
Horace Mann Insurance Co,6322 Sovereign St # 181,San Antonio,TX,78229,Woodard,Keith,(210) 348-9070,Insurance,"Less Than $500,000",6411-12,Insurance,
Horace Mann Insurance Co,PO Box 592807,San Antonio,TX,78259,Sanderock,Mike,(210) 231-0319,Insurance,"Less Than $500,000",6411-12,Insurance,
Horizon Insurance Co,5910 Courtyard Dr,Austin,TX,78731,,,(512) 795-0275,Insurance,"Less Than $500,000",6411-12,Insurance,
Hotchkiss Insurance LLC,3625 Paesanos Pkwy # 200,San Antonio,TX,78231,Geary,Michele,(210) 581-0420,Insurance,"$500,000-1 Million",6411-12,Insurance,
Howard Insurance,105 Biltmore St # 201,San Antonio,TX,78213,Howard,Dale,(210) 342-0802,Insurance,"Less Than $500,000",6411-12,Insurance,
"Howard, Dennis Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Howard,Dennis,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Howard, Eldridge Agt",8101 Cameron Rd # 102,Austin,TX,78754,Howard,Eldridge,(512) 339-7222,Insurance,"Less Than $500,000",6411-12,Insurance,
"Howard, Jo Ann Agt",PO Box 160130,Austin,TX,78716,Howard,Jo Ann,(512) 328-8444,Insurance,"Less Than $500,000",6411-12,Insurance,
"Howard, Jolana Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Howard,Jolana,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Howell, Patsy Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Howell,Patsy,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Howton, Angela Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Howton,Angela,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Hub International Trnsprtn Svc,12175 Network Blvd # 100,San Antonio,TX,78249,Pelletier,Justin,(210) 697-0709,Insurance,"Less Than $500,000",6411-12,Insurance,
Hub Transportation,12175 Network Blvd # 100,San Antonio,TX,78249,Templeton,Dennis,(281) 240-5300,Insurance,$1-2.5 Million,6411-12,Insurance,
"Hudson, Debra Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hudson,Debra,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Huerta Insurance Agency,111 W Anderson Ln # E340d,Austin,TX,78752,Huerta,Javier,(512) 491-0743,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Huerta, S Agt",9355 Bandera Rd # 120,San Antonio,TX,78250,Huerta,S,(210) 680-3277,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hughes, David Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hughes,David,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hughes, Randall Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hughes,Randall,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Hulett Group,825 W Bitters Rd # 201,San Antonio,TX,78216,Hulett,Charles,(210) 698-0455,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hull, Cody Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hull,Cody,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hull, Meredith Agt",11200 Jollyville Rd,Austin,TX,78759,Hull,Meredith,(512) 338-1191,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hundley, Charles Agt",200 Concord Plaza Dr # 100,San Antonio,TX,78216,Hundley,Charles,(210) 828-7474,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hunt, Marcella Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hunt,Marcella,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hunter, Leticia Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hunter,Leticia,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Hyerdall, Craig Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Hyerdall,Craig,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
I Con Realty,9514 Console Dr # 100,San Antonio,TX,78229,Acosta,Luis,(210) 812-5007,Insurance,"Less Than $500,000",6411-12,Insurance,
I Mart Svc,1811 S Congress Ave # B,Austin,TX,78704,,,(512) 440-0727,Services NEC,"$500,000-1 Million",6411-12,Insurance,
I S O Commercial Risk Svc,8911 N Capital Of Texas Hwy,Austin,TX,78759,,,(512) 372-9753,Insurance,"$500,000-1 Million",6411-12,Insurance,
IAS Services Group LLC,1020 NE Loop 410 # 805,San Antonio,TX,78209,Cochran,Larry,(210) 804-1300,Insurance,,6411-12,Insurance,
IBS National,8140 Burnet Rd,Austin,TX,78757,,,(512) 420-0582,Insurance,"Less Than $500,000",6411-12,Insurance,
Ibtx Risk Svc,5726 W Hausman Rd # 100,San Antonio,TX,78249,,,(210) 696-6688,Insurance,$10-20 Million,6411-12,Insurance,
Ignacio Sanchez III Ins Agcy,1603 Babcock Rd # 190,San Antonio,TX,78229,,,(210) 673-9305,Insurance,"$500,000-1 Million",6411-12,Insurance,
Ignacio Sanchez III Ins Agcy,1603 Babcock Rd # 190,San Antonio,TX,78229,Sanchez,I,(210) 673-9305,Insurance,"Less Than $500,000",6411-12,Insurance,
"Iguaran, Cisco Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Iguaran,Cisco,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
In Net Financial Group,6012 W Wm Cannon Dr # A101,Austin,TX,78749,Pinckard,Ronny,(512) 328-7526,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Inclan, Miguel Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Inclan,Miguel,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Independence Insurance Ctr Inc,1739 Citadel Plz,San Antonio,TX,78209,Williams,Audrey,(210) 821-5080,Insurance,"Less Than $500,000",6411-12,Insurance,
Independent Advantage Ins,13809 N Highway 183,Austin,TX,78750,Sanders,Jamie,(512) 219-8002,Insurance,"Less Than $500,000",6411-12,Insurance,
Independent Insurance,10901 N Lamar Blvd,Austin,TX,78753,,,(512) 838-6505,Insurance,"$500,000-1 Million",6411-12,Insurance,
Independent Insurance Agents,401 E Sonterra Blvd # 375,San Antonio,TX,78258,Palousek,Kathy,(210) 828-3425,Insurance,"$500,000-1 Million",6411-12,Insurance,
Independent Insurance Ctr,1739 Citadel Plz,San Antonio,TX,78209,Johnson,Steven C,(210) 615-8251,Insurance,"Less Than $500,000",6411-12,Insurance,
Independent Insurance Ctr Inc,1739 Citadel Plz,San Antonio,TX,78209,Rohde,Ronald,(210) 821-5080,Insurance,"Less Than $500,000",6411-12,Insurance,
Indiana Lumbermens Mutl Insur,1715 S Capital Of Texas Hwy,Austin,TX,78746,Agness,Bruce,(512) 327-3422,Insurance,"$500,000-1 Million",6411-12,Insurance,
Indianapolis Life Insurance,PO Box 158,Austin,TX,78767,Rider,Bill,(512) 479-0164,Insurance,"Less Than $500,000",6411-12,Insurance,
Inet Inc,PO Box 26537,Austin,TX,78755,Jones,Michael,(512) 231-0205,Insurance,"Less Than $500,000",6411-12,Insurance,
ING,10900 Stonelake Blvd # B-150,Austin,TX,78759,,,(512) 794-1300,Insurance,$1-2.5 Million,6411-12,Insurance,
Ing Financial Advisers,10900 Stonelake Blvd # B-150,Austin,TX,78759,Griffiths,Steven,(512) 794-1354,Insurance,"Less Than $500,000",6411-12,Insurance,
"Ingram, Tommy E Agt",248 Addie Roy Rd # C101,Austin,TX,78746,Ingram,Tommy E,(512) 327-5433,Insurance,"Less Than $500,000",6411-12,Insurance,
Ins One,601 Embassy Oaks # 101,San Antonio,TX,78216,Hutchison,Joe,(210) 402-0288,Insurance,$5-10 Million,6411-12,Insurance,
Insphere,13915 N MO Pac Expy,Austin,TX,78728,,,(512) 246-1313,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance & Bonds Agency Inc,5726 W Hausman Rd # 100,San Antonio,TX,78249,Clayburne,Joe,(210) 696-6688,Insurance,$10-20 Million,6411-12,Insurance,
Insurance & Financial Svc,1301 Nueces St,Austin,TX,78701,,,(512) 717-3698,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance & Financial Svc,846 Culebra Rd,San Antonio,TX,78201,,,(210) 714-4659,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance 360,2023 Denton Dr,Austin,TX,78758,,,(512) 490-1504,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance 4 Less,1723 E Oltorf St # 3,Austin,TX,78741,,,(512) 961-3160,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
Insurance 4 Less,1725 E Riverside Dr # B,Austin,TX,78741,,,(512) 961-3160,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
Insurance 4 Less,3909 N Interstate 35 # B-2,Austin,TX,78722,,,(512) 961-3160,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
Insurance 4 Less,9717 N Lamar Blvd # B-6,Austin,TX,78753,,,(512) 961-3160,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
Insurance 4 Less,2514 West Ave,San Antonio,TX,78201,,,(210) 693-1914,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance 4 Less,4307 Fredericksburg Rd,San Antonio,TX,78201,,,(210) 320-0403,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Auto Major Natl,6222 W Interstate 10,San Antonio,TX,78201,,,(210) 714-4684,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Concepts,11120 Wurzbach Rd # 201,San Antonio,TX,78230,Sund,Lana,(210) 691-0067,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Concepts-San Antonio,11120 Wurzbach Rd # 201,San Antonio,TX,78230,Sund,David,(210) 691-0067,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Conner Agency,,San Antonio,TX,78216,,,(210) 858-9696,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Del Cerda,5509 San Pedro Ave,San Antonio,TX,78212,Arizpe,Letty,(210) 737-2428,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Dental Coverage,200 Donaldson Ave,San Antonio,TX,78201,,,(210) 714-4671,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Dental Plan,211 Babcock Rd,San Antonio,TX,78201,,,(210) 714-4656,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Designers,12466 Los Indios Trl # 100,Austin,TX,78729,Richards,Douglas,(512) 257-9700,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Designers-Central TX,12466 Los Indios Trl # 1,Austin,TX,78729,,,(512) 257-9700,Insurance,$1-2.5 Million,6411-12,Insurance,
Insurance Disability Major,6222 W Interstate 10,San Antonio,TX,78201,,,(210) 714-4667,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Enrollment Svc,10635 N Interstate 35,San Antonio,TX,78233,Cobb,Tim,(210) 599-8550,Insurance,$1-2.5 Million,6411-12,Insurance,
Insurance Enrollment Svc LLC,8546 Broadway St # 101,San Antonio,TX,78217,Cobb,Sue,(210) 599-8550,Insurance,$1-2.5 Million,6411-12,Insurance,
Insurance Executives Inc,129 Southbridge St,San Antonio,TX,78216,Herbert,Theresa,(210) 341-5312,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Finders Inc,1300 Guadalupe St,Austin,TX,78701,,,(512) 469-9799,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Garden Agency,12466 Los Indios Trl,Austin,TX,78729,,,(512) 506-8342,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Group-Amer Holding,8217 Shoal Creek Blvd,Austin,TX,78757,,,(512) 419-7227,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Homeowners,1331 Culebra Rd,San Antonio,TX,78201,,,(210) 714-4654,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Homeowners Major,5826 W Interstate 10,San Antonio,TX,78201,,,(210) 714-4670,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Investors Inc,PO Box 149151,Austin,TX,78714,,,(512) 837-7100,Insurance,$2.5-5 Million,6411-12,Insurance,
Insurance Lady Agency Inc,6848 San Pedro Ave,San Antonio,TX,78216,,,(210) 201-1255,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Long Term Care Major,1803 W Gramercy Pl,San Antonio,TX,78201,,,(210) 714-4665,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Network,7551 Callaghan Rd # 350,San Antonio,TX,78229,,,(210) 888-9840,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Network Of Texas,8000 W Interstate 10 # 600,San Antonio,TX,78230,Bowman,Adma,(210) 524-7780,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Network Of Texas,8711 London Hts,San Antonio,TX,78254,,,(210) 684-0784,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance One,601 Embassy Oaks # 101,San Antonio,TX,78216,Carnahan,Jerry R,(210) 402-0288,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance One Agency,601 Embassy Oaks # 101,San Antonio,TX,78216,Edge,Joseph,(210) 402-0288,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance One Agency,601 Embassy Oaks # 101,San Antonio,TX,78216,Hutchison,Joe,(210) 402-0288,Insurance,$5-10 Million,6411-12,Insurance,
Insurance Plus & Afba,7402 Midcrown Dr,San Antonio,TX,78218,Thomas,Martha,(210) 654-9139,Insurance Agents Brokers & Service,"Less Than $500,000",6411-98,Insurance Agents Brokers & Service,
Insurance Pros,4335 Vance Jackson Rd,San Antonio,TX,78230,,,(210) 348-8483,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Providers,10205 Oasis St # 305,San Antonio,TX,78216,,,(210) 340-0470,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Select,1102 Commercial Ave # 3,San Antonio,TX,78211,Menchaca,Mario,(210) 263-9498,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Solutions,6812 Rio Bravo Ln,Austin,TX,78737,Luikart,Chris,(512) 288-8605,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Statewide Group LLC,8725 Copano Dr,Austin,TX,78749,,,(512) 551-2184,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurance Term Life Major Natl,615 Vance Jackson Rd,San Antonio,TX,78201,,,(210) 714-4658,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Unlimited,PO Box 92706,Austin,TX,78709,Claunch,Linda,(512) 326-2258,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Vision Plan,730 Babcock Rd,San Antonio,TX,78201,,,(210) 714-4657,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insurance Vision Plan Major,1102 W Laurel,San Antonio,TX,78201,,,(210) 714-4668,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insuranceplus!,6420 Bandera Rd # B,San Antonio,TX,78238,Perez,Nora,(210) 682-2400,Insurance,"Less Than $500,000",6411-07,Insurance-Homeowners,
Insure 1,8313 Mccullough Ave,San Antonio,TX,78216,,,(210) 541-9771,Insurance,"$500,000-1 Million",6411-12,Insurance,
Insure One,3323 SE Military Dr,San Antonio,TX,78223,,,(210) 333-2093,Insurance,"Less Than $500,000",6411-12,Insurance,
Insure One,6818 S Zarzamora St,San Antonio,TX,78224,,,(210) 924-1170,Insurance,"Less Than $500,000",6411-12,Insurance,
Insure One,826 SW Military Dr,San Antonio,TX,78221,,,(210) 921-6092,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurica,3721 Executive Center Dr # 200,Austin,TX,78731,Jones,Cicely,(512) 381-8363,Insurance,"Less Than $500,000",6411-12,Insurance,
Insurica Insurance Mgmt Ntwrk,1300 S MO Pac Expy,Austin,TX,78746,Mauer,Sherri,(512) 381-8350,Insurance,"$500,000-1 Million",6411-12,Insurance,
Integrative Medical Clinic,PO Box 691205,San Antonio,TX,78269,Artho,Angie,(210) 681-8200,Insurance,$1-2.5 Million,6411-12,Insurance,
Integrity Insurance,11467 Huebner Rd # 225,San Antonio,TX,78230,Previtera,Nunzio,(210) 593-0820,Insurance,"$500,000-1 Million",6411-12,Insurance,
Integrity Insurance,2634 Kerrybrook Ct,San Antonio,TX,78230,Mendive,Eddie,(210) 593-0820,Insurance,"Less Than $500,000",6411-12,Insurance,
Integrity Insurance,2634 Kerrybrook Ct,San Antonio,TX,78230,Previtera,Penny,(210) 593-0820,Insurance,"Less Than $500,000",6411-12,Insurance,
Integrity Insurance,2634 Kerrybrook Ct,San Antonio,TX,78230,Miller,Angela,(210) 593-0820,Insurance,"Less Than $500,000",6411-12,Insurance,
Integrity Insurance,2634 Kerrybrook Ct,San Antonio,TX,78230,Previtera,Nunzio,(210) 593-0820,Insurance,$5-10 Million,6411-12,Insurance,
Interfirst Insurance Managers,PO Box 202050,Austin,TX,78720,Roark,Ray,(512) 335-3535,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Isaac, Cynthia Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Isaac,Cynthia,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Ismael Robert Diaz Insurance,6812 Bandera Rd # 211,San Antonio,TX,78238,Diaz,Ismael,(210) 520-5753,Insurance,"$500,000-1 Million",6411-12,Insurance,
ISO,4030 W Braker Ln # 350,Austin,TX,78759,,,(512) 795-9104,Insurance,$1-2.5 Million,6411-12,Insurance,
ISO Commercial Risk Svc,4030 W Braker Ln # 350,Austin,TX,78759,,,(512) 440-7331,Insurance,$2.5-5 Million,6411-12,Insurance,
Ivan Booker Insurance Inc,706 W Ben White Blvd,Austin,TX,78704,Booker,Ivan,(512) 444-2500,Insurance,"$500,000-1 Million",6411-12,Insurance,
J & A Assoc,5119 Fredericksburg Rd,San Antonio,TX,78229,Cohen,Harvey,(210) 344-5836,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
J & M Insurance Svc,4600 Spicewd Spgs Rd # 101,Austin,TX,78759,Michalowski,Todd,(512) 238-6100,Insurance,"$500,000-1 Million",6411-12,Insurance,
J D M Insurance & Financial,110 Broadway St # 209,San Antonio,TX,78205,Mokry,Jacob D,(210) 695-8774,Insurance,"Less Than $500,000",6411-12,Insurance,
J Guerra Law Firm,7551 Callaghan Rd # 100,San Antonio,TX,78229,Guerra,Jesse,(210) 366-4529,Attorneys,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
J N Motors,1011 Jackson Keller Rd,San Antonio,TX,78213,Abrams,Ron,(210) 340-7650,Insurance,"Less Than $500,000",6411-12,Insurance,
